"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"0400000US38","North Dakota","280412","3191","7.7","0.7","6.1","0.7","11.4","0.9","11.3","0.9","14.6","1.0","19.8","1.0","13.4","0.8","11.0","0.7","2.5","0.4","2.2","0.4","48670","1575","61289","1529","24.7","(X)","(X)","(X)","(X)","(X)","171945","3437","3.9","0.6","2.6","0.5","7.3","0.8","8.4","0.8","13.5","1.1","23.5","1.2","18.2","1.2","15.8","1.0","3.7","0.6","3.1","0.5","65207","1493","75754","1831","(X)","(X)","23.4","(X)","(X)","(X)","140277","3438","1.4","0.3","1.8","0.4","4.1","0.6","7.1","0.8","12.0","1.1","25.5","1.4","21.3","1.4","18.7","1.3","4.5","0.7","3.6","0.6","72612","1750","84528","2112","(X)","(X)","(X)","(X)","(X)","(X)","108467","3310","15.3","1.7","11.8","1.5","18.3","1.5","15.7","1.6","16.5","1.4","13.0","1.5","5.3","1.0","2.9","0.7","0.6","0.3","0.6","0.3","28150","1513","36442","1781","(X)","(X)","(X)","(X)","25.9","(X)"
"0400000US39","Ohio","4525066","15956","8.5","0.2","6.2","0.2","12.7","0.2","11.7","0.2","15.3","0.3","18.8","0.3","11.5","0.2","10.0","0.2","2.9","0.1","2.4","0.1","45090","294","59654","315","26.3","(X)","(X)","(X)","(X)","(X)","2960107","17479","5.8","0.2","3.5","0.2","8.9","0.3","10.3","0.3","15.1","0.3","21.3","0.3","14.5","0.3","13.2","0.2","4.0","0.2","3.3","0.1","56518","418","70653","445","(X)","(X)","26.4","(X)","(X)","(X)","2169003","17387","1.8","0.2","1.6","0.1","5.7","0.3","8.5","0.3","14.7","0.4","23.4","0.4","17.8","0.4","17.0","0.3","5.2","0.2","4.3","0.2","68256","607","83113","662","(X)","(X)","(X)","(X)","(X)","(X)","1564959","16686","15.2","0.5","11.5","0.4","20.5","0.5","14.7","0.5","15.3","0.5","13.2","0.4","5.0","0.3","3.2","0.2","0.7","0.1","0.7","0.1","26590","306","36656","548","(X)","(X)","(X)","(X)","24.7","(X)"
"0400000US40","Oklahoma","1432959","7544","8.6","0.3","7.0","0.4","13.4","0.4","12.5","0.5","15.9","0.5","19.0","0.4","10.4","0.4","8.6","0.3","2.5","0.2","2.2","0.2","42072","407","56533","552","27.6","(X)","(X)","(X)","(X)","(X)","954622","8374","5.5","0.4","4.3","0.3","10.7","0.5","11.3","0.5","16.0","0.6","21.9","0.6","13.2","0.5","11.1","0.4","3.3","0.2","2.8","0.2","51958","620","65945","798","(X)","(X)","28.1","(X)","(X)","(X)","709256","9175","2.0","0.3","2.3","0.2","7.5","0.4","9.8","0.5","16.0","0.7","24.6","0.7","16.2","0.6","13.9","0.5","4.2","0.3","3.6","0.3","61653","743","76423","1076","(X)","(X)","(X)","(X)","(X)","(X)","478337","6919","16.5","0.8","13.1","0.7","19.3","0.8","14.8","0.8","15.0","0.8","12.4","0.7","4.3","0.4","3.1","0.4","0.8","0.2","0.9","0.2","25653","608","35678","798","(X)","(X)","(X)","(X)","25.0","(X)"
"0400000US41","Oregon","1507137","8164","7.8","0.3","6.0","0.3","12.0","0.5","11.8","0.4","15.5","0.5","18.9","0.5","11.5","0.4","10.6","0.4","3.1","0.2","2.7","0.2","46560","542","61552","706","23.1","(X)","(X)","(X)","(X)","(X)","963362","9735","5.2","0.4","3.2","0.3","9.1","0.5","10.8","0.5","15.3","0.6","20.7","0.7","14.2","0.6","13.6","0.5","4.2","0.2","3.6","0.3","56661","973","71966","941","(X)","(X)","23.5","(X)","(X)","(X)","733095","9535","1.8","0.3","2.0","0.3","6.5","0.4","9.1","0.5","15.0","0.6","22.6","0.7","16.5","0.7","16.6","0.7","5.3","0.3","4.5","0.4","66179","983","82100","1214","(X)","(X)","(X)","(X)","(X)","(X)","543775","9361","14.1","0.8","11.4","0.7","18.5","0.8","13.9","0.7","15.2","0.7","14.4","0.8","6.0","0.5","4.5","0.4","1.1","0.2","0.9","0.2","28768","890","40280","928","(X)","(X)","(X)","(X)","20.6","(X)"
"0400000US42","Pennsylvania","4936030","14212","7.6","0.2","6.0","0.2","11.7","0.2","11.1","0.2","14.1","0.2","18.8","0.3","12.0","0.2","11.4","0.2","3.8","0.1","3.4","0.1","49288","433","65878","433","28.3","(X)","(X)","(X)","(X)","(X)","3197710","17008","4.4","0.2","3.1","0.2","7.9","0.2","9.5","0.2","14.2","0.3","21.2","0.3","14.8","0.3","15.1","0.3","5.2","0.2","4.6","0.2","61890","408","79150","575","(X)","(X)","28.8","(X)","(X)","(X)","2381094","16045","1.3","0.1","1.4","0.1","5.0","0.2","7.7","0.2","13.2","0.3","22.7","0.4","17.3","0.3","18.7","0.4","6.7","0.2","6.0","0.2","73226","579","91804","726","(X)","(X)","(X)","(X)","(X)","(X)","1738320","15791","14.6","0.4","11.9","0.4","19.5","0.5","14.3","0.4","13.9","0.4","13.7","0.4","6.0","0.3","4.0","0.2","1.1","0.1","1.0","0.1","27316","319","39156","481","(X)","(X)","(X)","(X)","26.1","(X)"
"0400000US44","Rhode Island","402295","4265","8.5","0.7","5.8","0.5","11.0","0.8","9.7","0.9","12.6","0.9","18.3","1.0","12.8","0.8","12.7","0.7","4.8","0.5","3.9","0.5","52254","1244","69840","1720","31.9","(X)","(X)","(X)","(X)","(X)","246028","5431","4.1","0.6","2.5","0.5","8.0","0.9","9.1","1.2","12.1","1.1","19.5","1.2","15.2","1.2","17.1","1.0","6.9","0.8","5.4","0.7","67814","2295","85213","2380","(X)","(X)","31.7","(X)","(X)","(X)","173848","5462","1.0","0.3","1.2","0.5","4.5","0.9","6.8","0.9","10.1","1.2","20.2","1.3","17.9","1.4","21.9","1.3","9.0","1.0","7.3","0.9","82676","2558","101457","3024","(X)","(X)","(X)","(X)","(X)","(X)","156267","4843","16.1","1.4","11.4","1.1","16.9","1.6","10.8","1.2","13.5","1.4","16.2","1.6","7.8","1.1","5.1","0.8","1.0","0.4","1.3","0.5","30444","1376","42952","1972","(X)","(X)","(X)","(X)","31.3","(X)"
"0400000US45","South Carolina","1761393","10691","9.7","0.4","7.0","0.3","13.9","0.4","11.8","0.3","15.1","0.5","18.2","0.5","10.7","0.4","8.9","0.3","2.5","0.2","2.1","0.2","42018","424","56365","624","32.0","(X)","(X)","(X)","(X)","(X)","1180687","11186","6.7","0.4","4.2","0.3","11.1","0.5","10.9","0.4","15.2","0.5","20.4","0.6","13.4","0.5","11.7","0.5","3.3","0.2","2.9","0.2","51704","595","66125","862","(X)","(X)","33.2","(X)","(X)","(X)","827387","11112","2.3","0.3","1.9","0.2","7.1","0.4","8.7","0.5","15.2","0.6","23.4","0.8","17.1","0.7","15.7","0.6","4.6","0.3","4.0","0.3","65214","862","79950","1083","(X)","(X)","(X)","(X)","(X)","(X)","580706","10592","17.1","0.8","13.3","0.8","20.4","0.8","14.0","0.8","14.2","0.8","12.6","0.7","4.7","0.4","2.5","0.3","0.8","0.2","0.5","0.2","24553","591","34387","796","(X)","(X)","(X)","(X)","27.8","(X)"
"0400000US46","South Dakota","318955","3470","7.9","0.7","6.2","0.6","11.6","0.8","13.1","0.9","15.0","1.0","19.9","1.0","12.3","0.8","9.8","0.7","2.1","0.4","2.3","0.3","45904","1215","59391","1403","21.4","(X)","(X)","(X)","(X)","(X)","204029","4559","4.1","0.6","2.6","0.5","8.3","1.0","10.4","0.9","14.3","1.0","24.1","1.2","16.5","1.1","13.7","1.0","2.9","0.5","3.1","0.5","59987","1689","72270","2066","(X)","(X)","21.8","(X)","(X)","(X)","161534","4342","1.6","0.5","1.1","0.3","5.6","0.8","7.8","0.8","13.7","1.1","26.5","1.4","19.7","1.3","16.5","1.2","3.6","0.6","3.8","0.6","68672","1733","81805","2364","(X)","(X)","(X)","(X)","(X)","(X)","114926","4038","15.4","1.6","13.2","1.4","18.6","1.7","18.7","1.8","14.8","1.4","11.6","1.4","4.0","0.9","2.5","0.7","0.4","0.3","0.8","0.3","26388","1096","34547","1465","(X)","(X)","(X)","(X)","19.9","(X)"
"0400000US47","Tennessee","2440663","12796","9.4","0.3","7.4","0.3","13.4","0.3","12.4","0.3","15.5","0.3","18.2","0.4","10.1","0.3","8.6","0.3","2.5","0.2","2.5","0.1","41461","403","56835","565","28.0","(X)","(X)","(X)","(X)","(X)","1644896","14706","6.3","0.3","4.4","0.3","10.8","0.3","11.3","0.3","15.9","0.4","20.6","0.5","12.6","0.4","11.2","0.4","3.3","0.2","3.4","0.2","51083","511","67011","836","(X)","(X)","29.0","(X)","(X)","(X)","1195406","12392","2.4","0.3","2.5","0.2","7.8","0.3","9.6","0.4","15.5","0.5","23.3","0.5","15.7","0.5","14.6","0.5","4.3","0.3","4.5","0.2","62299","720","78826","1033","(X)","(X)","(X)","(X)","(X)","(X)","795767","11345","17.2","0.7","14.0","0.6","19.8","0.8","14.4","0.6","14.3","0.6","12.2","0.8","4.3","0.3","2.6","0.3","0.7","0.2","0.6","0.1","24305","669","33799","755","(X)","(X)","(X)","(X)","24.5","(X)"
"0400000US48","Texas","8738664","20291","7.8","0.2","5.9","0.1","11.8","0.2","11.2","0.2","14.4","0.2","18.2","0.2","11.4","0.2","11.5","0.2","4.0","0.1","3.8","0.1","48615","347","66756","389","29.5","(X)","(X)","(X)","(X)","(X)","6091590","24172","5.4","0.2","4.2","0.2","10.1","0.2","10.4","0.2","14.0","0.3","19.1","0.3","13.1","0.2","13.9","0.2","5.0","0.2","4.8","0.1","56575","441","75506","511","(X)","(X)","30.4","(X)","(X)","(X)","4386996","26008","2.0","0.1","2.5","0.1","7.2","0.2","8.7","0.2","13.0","0.3","20.4","0.3","15.6","0.3","17.7","0.3","6.6","0.2","6.4","0.2","69888","600","88934","629","(X)","(X)","(X)","(X)","(X)","(X)","2647074","20031","15.1","0.4","10.5","0.3","16.3","0.3","13.3","0.4","15.3","0.4","14.9","0.3","6.7","0.3","5.1","0.2","1.5","0.1","1.4","0.1","30800","275","43466","460","(X)","(X)","(X)","(X)","25.7","(X)"
"0400000US49","Utah","880025","4985","5.3","0.3","4.4","0.3","10.2","0.5","10.0","0.5","15.2","0.6","22.1","0.7","13.7","0.5","13.0","0.6","3.3","0.3","2.8","0.2","54744","625","68176","898","24.9","(X)","(X)","(X)","(X)","(X)","665964","7680","3.8","0.4","2.6","0.3","7.6","0.6","8.8","0.6","15.1","0.7","23.6","0.7","15.8","0.7","15.2","0.7","4.0","0.3","3.5","0.3","61618","583","75582","1068","(X)","(X)","24.2","(X)","(X)","(X)","543212","7068","1.7","0.2","1.7","0.3","5.9","0.5","7.8","0.6","14.1","0.7","25.0","0.9","17.5","0.8","17.7","0.7","4.6","0.4","4.1","0.4","67713","800","82725","1263","(X)","(X)","(X)","(X)","(X)","(X)","214061","5947","11.7","1.0","10.3","1.0","19.6","1.2","14.0","1.3","16.2","1.3","15.9","1.5","5.8","0.8","4.9","0.8","0.8","0.3","0.7","0.3","30668","997","41336","1888","(X)","(X)","(X)","(X)","24.7","(X)"
"0400000US50","Vermont","256922","2727","7.1","0.8","6.2","0.6","11.7","0.9","10.9","0.9","14.6","0.9","19.9","1.0","12.8","0.9","10.6","0.7","3.5","0.5","2.8","0.4","49406","1483","63768","1504","24.9","(X)","(X)","(X)","(X)","(X)","159846","3532","3.8","0.6","3.0","0.6","7.6","0.9","9.7","1.0","14.5","1.2","22.0","1.4","16.1","1.2","14.4","1.1","5.0","0.7","3.9","0.6","62575","1719","77453","2123","(X)","(X)","25.0","(X)","(X)","(X)","125678","3324","1.5","0.5","1.6","0.5","5.4","0.8","7.6","0.9","14.3","1.3","22.7","1.5","18.8","1.4","17.2","1.3","6.1","0.9","4.8","0.7","71437","2185","87249","2601","(X)","(X)","(X)","(X)","(X)","(X)","97076","3857","13.4","1.6","12.1","1.3","19.2","1.7","13.6","1.4","14.5","1.4","15.9","1.4","5.9","1.2","4.0","0.8","0.7","0.4","0.8","0.4","28936","1920","38760","1712","(X)","(X)","(X)","(X)","23.2","(X)"
"0400000US51","Virginia","2992732","14604","5.9","0.2","4.4","0.2","9.1","0.3","9.1","0.3","13.2","0.3","17.8","0.3","12.6","0.3","15.0","0.3","6.5","0.2","6.3","0.2","60674","457","81608","650","26.9","(X)","(X)","(X)","(X)","(X)","2013520","16738","3.5","0.2","2.6","0.2","7.0","0.3","8.0","0.3","12.1","0.3","18.3","0.4","14.2","0.4","17.7","0.4","8.2","0.3","8.3","0.3","72476","752","94262","887","(X)","(X)","27.2","(X)","(X)","(X)","1517627","16113","1.1","0.1","1.4","0.2","4.5","0.2","6.0","0.3","10.6","0.4","18.5","0.5","15.8","0.5","21.3","0.4","10.2","0.4","10.5","0.3","86354","692","108659","1110","(X)","(X)","(X)","(X)","(X)","(X)","979212","16197","12.0","0.6","8.4","0.4","14.1","0.6","12.0","0.5","15.5","0.6","16.2","0.6","8.8","0.5","8.5","0.5","2.5","0.2","2.1","0.2","37609","768","52618","835","(X)","(X)","(X)","(X)","24.8","(X)"
"0400000US53","Washington","2606863","9745","6.6","0.3","4.5","0.2","10.0","0.3","9.9","0.3","13.9","0.3","19.5","0.4","13.5","0.4","13.6","0.3","4.7","0.2","3.8","0.2","55631","550","71739","695","22.7","(X)","(X)","(X)","(X)","(X)","1681386","12734","4.2","0.3","2.7","0.2","7.4","0.4","8.1","0.4","12.7","0.4","20.7","0.5","15.8","0.4","17.2","0.4","6.2","0.3","5.0","0.3","67328","649","83679","970","(X)","(X)","22.7","(X)","(X)","(X)","1297240","12312","1.5","0.2","1.3","0.2","4.9","0.4","6.7","0.3","11.7","0.4","21.4","0.5","18.0","0.5","20.6","0.5","7.6","0.4","6.3","0.3","77985","918","95186","1193","(X)","(X)","(X)","(X)","(X)","(X)","925477","12533","12.0","0.6","8.2","0.4","15.6","0.6","13.6","0.6","16.3","0.7","16.9","0.6","8.2","0.5","6.2","0.4","1.7","0.2","1.3","0.2","35390","648","46758","716","(X)","(X)","(X)","(X)","21.0","(X)"
"0400000US54","West Virginia","741940","5724","10.4","0.5","8.1","0.5","15.4","0.6","12.7","0.6","15.4","0.6","17.5","0.7","10.2","0.5","7.5","0.5","1.6","0.2","1.4","0.2","38218","896","50574","845","30.6","(X)","(X)","(X)","(X)","(X)","485652","6805","6.0","0.6","4.5","0.5","11.7","0.8","12.4","0.7","16.5","0.8","21.2","1.0","13.2","0.8","10.4","0.6","2.2","0.3","1.9","0.3","48927","1009","60523","1202","(X)","(X)","31.2","(X)","(X)","(X)","372301","7081","2.3","0.4","2.7","0.4","9.5","0.7","11.7","0.8","16.7","0.9","23.4","1.2","15.8","0.9","12.9","0.8","2.7","0.4","2.3","0.3","57327","1385","68545","1563","(X)","(X)","(X)","(X)","(X)","(X)","256288","6189","20.1","1.0","15.3","1.0","22.4","1.2","13.3","1.0","12.6","1.2","10.2","1.1","3.6","0.5","1.6","0.3","0.4","0.2","0.5","0.2","21018","634","30029","1104","(X)","(X)","(X)","(X)","27.8","(X)"
"0400000US55","Wisconsin","2279532","9375","6.3","0.2","5.8","0.2","12.1","0.3","11.5","0.3","15.2","0.4","20.0","0.3","12.8","0.2","11.0","0.3","2.9","0.1","2.4","0.1","49001","500","62376","483","25.1","(X)","(X)","(X)","(X)","(X)","1453332","10977","4.0","0.3","3.0","0.2","7.9","0.3","9.3","0.3","14.2","0.4","22.6","0.4","16.5","0.4","15.1","0.3","4.1","0.2","3.3","0.2","62088","500","74705","668","(X)","(X)","25.0","(X)","(X)","(X)","1125314","11860","1.3","0.2","1.3","0.1","4.8","0.2","7.6","0.3","13.1","0.4","24.6","0.5","19.4","0.4","18.6","0.4","5.1","0.3","4.1","0.2","72003","477","85243","825","(X)","(X)","(X)","(X)","(X)","(X)","826200","11044","11.8","0.5","11.2","0.5","20.1","0.6","15.3","0.6","16.9","0.6","14.4","0.6","5.6","0.4","3.1","0.3","0.8","0.2","0.6","0.1","29375","607","38216","668","(X)","(X)","(X)","(X)","23.7","(X)"
"0400000US56","Wyoming","222803","3575","6.0","0.8","5.6","0.7","10.1","0.9","10.1","1.1","14.0","1.1","21.0","1.4","13.7","1.0","13.1","1.3","3.8","0.7","2.5","0.4","53512","1894","66710","2724","23.2","(X)","(X)","(X)","(X)","(X)","147394","3852","3.1","0.7","2.3","0.7","6.9","1.0","8.4","1.1","12.4","1.3","24.3","1.8","17.1","1.4","17.0","1.6","5.1","1.1","3.4","0.7","65841","2734","79216","3858","(X)","(X)","24.6","(X)","(X)","(X)","119756","3863","1.1","0.4","0.8","0.4","5.0","0.9","6.4","1.3","11.1","1.3","26.1","2.0","19.5","1.6","20.2","1.9","5.9","1.3","3.9","0.8","74294","2611","87747","4467","(X)","(X)","(X)","(X)","(X)","(X)","75409","3584","12.7","2.0","12.8","1.7","17.5","2.2","14.1","2.2","16.2","2.3","14.4","2.0","6.0","1.5","4.5","1.2","0.9","0.6","0.9","0.5","29846","2446","39218","2209","(X)","(X)","(X)","(X)","19.0","(X)"
"0400000US72","Puerto Rico","1319448","9440","29.2","0.6","12.6","0.4","18.4","0.5","12.0","0.4","11.9","0.4","9.2","0.4","3.1","0.2","2.4","0.2","0.6","0.1","0.7","0.1","18862","324","29365","496","23.6","(X)","(X)","(X)","(X)","(X)","966123","10138","24.8","0.7","11.4","0.5","19.4","0.6","13.1","0.5","13.2","0.5","10.4","0.4","3.6","0.2","2.6","0.3","0.7","0.1","0.8","0.1","21645","373","32220","655","(X)","(X)","25.1","(X)","(X)","(X)","557851","8275","14.0","0.8","10.7","0.6","19.3","1.0","14.3","0.8","15.8","0.8","14.4","0.6","5.1","0.4","4.0","0.4","1.1","0.2","1.3","0.2","29090","595","41090","1070","(X)","(X)","(X)","(X)","(X)","(X)","353325","7996","45.9","1.4","16.1","0.9","15.9","0.9","7.9","0.7","6.6","0.6","4.4","0.5","1.3","0.3","1.3","0.3","0.3","0.2","0.3","0.1","11080","340","18812","713","(X)","(X)","(X)","(X)","16.7","(X)"
